FoF,Cell_id,true_labels,pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
FoF1_231005_fluorescent.nucleus,cell310,1,1,-0.08664501,-0.11174803,-0.051744808,-0.021320846,0.19353804,-0.09245832,-0.089972705,-0.10285428,-0.09271638,-0.23302728,-0.090471014,-0.054645456,0.10663753,-0.24526978,-0.11187292,-0.0780696,-0.10685233,0.1813629,-0.075986534,-0.022108123,-0.10436328,-0.26041925,-0.1616595,-0.09053321,-0.08302439,0.08358613,-0.058521233,-0.025221236,-0.06999059,-0.3824696,-0.08801968,-0.17652354
FoF1_231005_fluorescent.nucleus,cell28,1,1,-0.09206073,-0.1374973,-0.036892217,0.04400371,0.029541936,-0.10654607,-0.0674652,-0.13366973,-0.10702808,-0.3328769,-0.09178017,-0.077725425,0.03973883,-0.17352162,-0.10229683,-0.025870029,-0.11520874,-0.007116532,-0.01623376,-0.09292093,-0.047617476,-0.27168983,-0.08898605,-0.009124752,0.013386183,-0.0055575864,-0.070071355,-0.11353766,-0.00093339384,-0.23334146,-0.042764958,-0.1442301
FoF4_231005_fluorescent.nucleus,cell229,1,1,-0.018079877,-0.09974199,-0.039987892,0.26137382,-0.04469856,-0.06990933,-0.046062417,-0.12902209,-0.06983106,-0.16610134,-0.08387461,0.096113496,0.26832363,-0.25922963,-0.08519597,0.0043446403,-0.0790568,0.029232958,0.010424955,0.01795964,-0.062104568,-0.45286226,-0.1228634,-0.013443784,0.007919218,0.16533382,-0.07860228,-0.032810472,-0.266292,-0.31862783,-0.030559009,-0.15862742
FoF1_231005_fluorescent.nucleus,cell41,1,1,-0.1160394,-0.13236018,-0.08576837,0.15691882,0.11028706,-0.090219185,-0.07795888,-0.12699655,-0.08924952,-0.195411,-0.07273252,-0.02006678,0.27589613,-0.314246,-0.05608575,-0.053226195,-0.09511499,0.15590696,-0.03512452,-0.05963938,-0.08344235,-0.45048547,-0.189275,-0.05202596,-0.04111114,0.15753148,-0.12090362,-0.025625428,-0.103726834,-0.43070883,-0.073972024,-0.14638437
FoF2_231005_fluorescent.nucleus,cell79,0,2,-0.2597534,-0.18573993,0.07296238,0.42932236,-0.47645748,-0.22969005,0.0008227234,-0.11059945,-0.20583619,-0.21279556,-0.061059393,-0.037586443,0.41735095,-0.087852865,0.06452515,-0.07793629,-0.040262647,-0.26499158,-0.07508065,-0.21323359,-0.060341377,-0.5410645,0.027174152,-0.02706156,-0.022507198,0.04786877,-0.09803437,-0.10704169,-0.17237549,-0.1386355,-0.06643906,0.067322664
FoF1_231005_fluorescent.nucleus,cell53,1,1,-0.10755713,-0.10824874,-0.05195254,-0.01546181,0.10501115,-0.09857549,-0.06642648,-0.07667323,-0.09673071,-0.25073406,-0.06915079,-0.14219618,0.16360731,-0.15054837,-0.0058544036,-0.07883206,-0.08716648,0.15018031,-0.07230778,-0.14510846,-0.104656056,-0.25692397,-0.12247361,-0.07625644,-0.08008915,0.050439395,-0.06739128,-0.04299227,0.004560381,-0.32038146,-0.08266944,-0.08909694
FoF3_231005_fluorescent.nucleus,cell49,3,3,-0.02335709,-0.042936802,-0.051948607,-0.13267821,0.12093273,-0.055682078,-0.068118446,-0.06324067,-0.06603301,0.030359417,-0.04356069,0.09039603,-0.22551936,-0.12157458,-0.21849957,-0.08386709,-0.046683986,-0.019543301,-0.086735524,0.21520972,-0.0861387,0.14362395,-0.09516864,-0.087408215,-0.06290673,-0.050128866,0.015296489,-0.00024549337,-0.13761054,-0.004598555,-0.09568792,-0.16296384
FoF2_231005_fluorescent.nucleus,cell76,0,0,-0.10846555,-0.09360477,-0.01800615,0.07984051,-0.2137602,-0.08779934,-0.018530324,-0.052083723,-0.082265794,-0.09214306,-0.04032696,-0.08063255,0.11346193,0.025027454,0.07181592,-0.037965205,-0.047362633,-0.11594309,-0.027265929,-0.22471607,-0.045727752,-0.17177843,-0.024779473,-0.013034535,-0.0038161115,-0.041759286,-0.045028083,-0.07008177,-0.036768,-0.032070257,-0.04386671,0.017833218
FoF4_231005_fluorescent.nucleus,cell10,1,1,-0.14417386,-0.13671452,0.029518995,0.4725898,-0.12197852,-0.11361392,-0.007192999,-0.15856451,-0.11403346,-0.7302396,-0.17346928,-0.20975843,0.55448574,-0.35500562,-0.024277799,0.1589736,-0.13345067,-0.1039523,0.14591448,-0.29627857,0.05808097,-0.9264314,-0.23215614,0.098896004,0.18234792,0.3083226,-0.087925196,-0.0732003,0.34864557,-0.41471064,0.06146716,-0.21833366
FoF4_231005_fluorescent.nucleus,cell195,3,3,-0.1058815,-0.08536539,-0.06570892,-0.2148781,0.28835505,-0.091800705,-0.048494853,-0.023533026,-0.09254519,-0.20006411,-0.07571107,-0.046039816,-0.26887834,-0.228309,-0.3059048,-0.13915557,-0.052838825,0.11261815,-0.14541242,0.1928991,-0.10337958,0.16717985,-0.13539188,-0.15727805,-0.11911194,-0.040171795,0.092492,-0.016737469,0.184216,-0.14249864,-0.1364575,-0.24508934
FoF4_240918_fluorescent.nucleus,cell60,3,2,0.038853608,-0.019592023,-0.008312959,0.020475335,-0.54600495,-0.014281449,0.13729447,-0.08790144,0.037232526,0.12354376,-0.029628132,0.12660849,-0.49525714,0.27160996,-0.18230163,0.013608132,-0.08320873,-0.97140735,0.030336287,-0.09856451,0.020165708,0.32959074,0.17065497,0.13073394,0.15281618,-0.22919087,-0.034065887,-0.30875948,0.08922912,0.733171,0.04593678,0.006789133
FoF4_240918_fluorescent.nucleus,cell26,3,3,0.14401487,-0.08263039,-0.049186755,-0.45334846,0.33425274,0.035761774,0.20540488,-0.0059938896,0.0874499,-0.49222147,0.09741576,-0.40811807,-0.471209,0.11875783,-0.07183975,0.05769608,-0.040800694,-0.20898578,0.054160684,-0.008926255,0.04171948,0.47078183,0.25161567,0.11641769,0.09108189,-0.34605783,0.16011399,-0.32552943,1.1663618,0.31353658,0.11419636,-0.07603556
FoF4_231005_fluorescent.nucleus,cell139,1,1,-0.092686154,-0.07973243,-0.051154975,-0.035748377,-0.028941069,-0.07813282,-0.05663362,-0.07287435,-0.077811554,-0.09339837,-0.084222764,-0.060233913,0.04322019,-0.078979775,-0.03710355,-0.08735339,-0.072261006,0.00809164,-0.08480087,-0.10532877,-0.08894172,-0.10187685,-0.102542564,-0.0994413,-0.07214661,-0.016978819,-0.013494397,-0.022977363,-0.0537771,-0.12495245,-0.11150843,-0.09673585
FoF1_231005_fluorescent.nucleus,cell11,1,1,-0.106873855,-0.1205268,-0.055363327,-0.010475757,0.007879613,-0.098037906,-0.08176151,-0.1092263,-0.10029273,-0.24736214,-0.086704805,-0.16582246,0.19569956,-0.09651525,0.051878188,-0.07124069,-0.09988059,0.10012317,-0.06495542,-0.25077426,-0.09434742,-0.29021567,-0.11616947,-0.06832684,-0.06703607,-0.00023331307,-0.089973286,-0.07031799,-0.021643113,-0.2960554,-0.08251242,-0.062102653
FoF4_231005_fluorescent.nucleus,cell223,1,1,-0.10591107,-0.10937407,-0.010797989,-0.05728034,0.025650699,-0.11380913,-0.07605872,-0.13173339,-0.11264898,-0.37387985,-0.07310329,-0.21196209,0.10324445,0.004310358,0.09454535,-0.011886613,-0.09525791,0.0091072945,-0.008768141,-0.22062105,-0.04877292,-0.2210653,-0.04741762,0.012790205,0.030074378,-0.07508914,-0.10587251,-0.07383439,0.1017371,-0.16246733,-0.023906343,-0.008973131
